9.50225e-02 4.30663e-05  4.06497e+00 4.06500e+00 2.92093e-05
9.54524e-02 8.36542e-05  4.10155e+00 4.10163e+00 2.92696e-05
9.58823e-02 4.92720e-05  4.13832e+00 4.13836e+00 2.93619e-05
9.63123e-02 3.82280e-05  4.17523e+00 4.17527e+00 2.94273e-05
9.67422e-02 5.72617e-05  4.21231e+00 4.21236e+00 2.95035e-05
9.71721e-02 5.71711e-05  4.24956e+00 4.24961e+00 2.95722e-05
9.76020e-02 5.80916e-05  4.28695e+00 4.28701e+00 2.96356e-05
9.80319e-02 5.27269e-05  4.32452e+00 4.32457e+00 2.97009e-05
9.84618e-02 4.52196e-05  4.36225e+00 4.36228e+00 2.97574e-05
9.88917e-02 4.86721e-05  4.40013e+00 4.40018e+00 2.98206e-05
9.93217e-02 6.95193e-05  4.43818e+00 4.43824e+00 2.98856e-05
9.97516e-02 5.87019e-05  4.47639e+00 4.47644e+00 2.99452e-05
1.00000e-01 3.88570e-05  4.49854e+00 4.49858e+00 2.99840e-05
