
                  X           A:A1 PI: HOST-1 N  A:A1 PI: TRUSS-1   A:A2 PI: HOST-1 N  A:A2 PI: TRUSS-1   ALLAE Whole Model  ALLCD Whole Model  ALLDMD Whole Mode  ALLFD Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLPD Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model  ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE11 PI: TRUSS  LE:LE22 PI: HOST-  LE:LE22 PI: TRUSS  RF:RF1 PI: HOST-1  RF:RF1 PI: TRUSS-  RF:RF2 PI: HOST-1  RF:RF2 PI: TRUSS-  S:S11 PI: HOST-1   S:S11 PI: TRUSS-1  S:S22 PI: HOST-1   S:S22 PI: TRUSS-1  U:U1 PI: HOST-1 N  U:U1 PI: TRUSS-1   U:U2 PI: HOST-1 N  U:U2 PI: TRUSS-1   V:V1 PI: HOST-1 N  V:V1 PI: TRUSS-1   V:V2 PI: HOST-1 N  V:V2 PI: TRUSS-1 
                2.47191E-03        5.146E+03          2.57288E+03        0.                 0.               772.172E-06          0.                 0.                 0.                18.1666E+06        63.6502E+03         0.                18.1666E+06        52.4485E+03        18.2242E+06        58.4886E+03        -3.76001E-03       12.2837E-03        12.2838E-03         0.                 0.                 0.               728.882E+06          0.               -27.3185E+06         2.45846E+09        2.4424E+09         0.                -3.75296E-03       -1.87648E-03       12.3596E-03         0.                -1.09578         -547.807E-03          5.                 0.         
                2.58427E-03       -1.59247E+03     -796.339              0.                 0.               -57.1614E-06         0.                 0.                 0.                19.8454E+06        61.944E+03          0.                19.8454E+06        55.3907E+03        19.9044E+06        58.2954E+03        -3.85101E-03       12.8386E-03        12.8386E-03         0.                 0.                 0.               766.516E+06          0.                 2.10682E+06        2.56963E+09        2.57085E+09        0.                -3.8436E-03        -1.92179E-03       12.9214E-03         0.              -896.141E-03       -448.002E-03          5.                 0.         
                2.69663E-03       -6.13394E+03       -3.06738E+03        0.                 0.               114.508E-06          0.                 0.                 0.                21.6012E+06        66.0892E+03         0.                21.6012E+06        58.3658E+03        21.6672E+06        58.4417E+03        -3.96213E-03       13.3931E-03        13.3931E-03         0.                 0.                 0.               802.342E+06          0.                23.7359E+06         2.68068E+09        2.69464E+09        0.                -3.95434E-03       -1.97715E-03       13.4831E-03         0.                -1.33021         -665.064E-03          5.                 0.         
                2.80899E-03       -3.79119E+03       -1.89608E+03        0.                 0.              -114.408E-06          0.                 0.                 0.                23.4282E+06        73.7869E+03         0.                23.4282E+06        60.3111E+03        23.5049E+06        57.4068E+03        -4.15108E-03       13.9473E-03        13.9473E-03         0.                 0.                 0.               833.205E+06          0.                15.0756E+06         2.7917E+09         2.80057E+09        0.                -4.14253E-03       -2.07124E-03       14.0449E-03         0.                -1.8878          -943.91E-03           5.                 0.         
                2.92135E-03        2.4139E+03         1.20667E+03        0.                 0.                18.2481E-09         0.                 0.                 0.                25.3293E+06        75.0683E+03         0.                25.3293E+06        61.7625E+03        25.409E+06         57.1709E+03        -4.38814E-03       14.5011E-03        14.5011E-03         0.                 0.                 0.               861.442E+06          0.               -12.3081E+06         2.90268E+09        2.89545E+09        0.                -4.37857E-03       -2.18927E-03       14.6067E-03         0.                -1.96518         -982.641E-03          5.                 0.         
                3.03371E-03        5.58474E+03        2.79241E+03        0.                 0.               -57.251E-06          0.                 0.                 0.                27.3056E+06        68.3594E+03         0.                27.3056E+06        63.2879E+03        27.3791E+06        58.162E+03         -4.59467E-03       15.0547E-03        15.0547E-03         0.                 0.                 0.               891.961E+06          0.               -27.8551E+06         3.01358E+09        2.99726E+09        0.                -4.58414E-03       -2.29206E-03       15.1685E-03         0.                -1.51581         -757.973E-03          5.                 0.         
                3.14607E-03        2.57204E+03        1.28636E+03        0.                 0.              -114.534E-06          0.                 0.                 0.                29.3522E+06        63.2999E+03         0.                29.3522E+06        65.4398E+03        29.4227E+06        58.2649E+03        -4.73037E-03       15.6079E-03        15.6079E-03         0.                 0.                 0.               926.823E+06          0.               -15.903E+06          3.12445E+09        3.11514E+09        0.                -4.7192E-03        -2.3596E-03        15.7303E-03         0.                -1.05757         -528.829E-03          5.                 0.         
                3.25843E-03       -2.94629E+03       -1.47283E+03        0.                 0.                 0.                 0.                 0.                 0.                31.4729E+06        63.4916E+03         0.                31.4729E+06        68.2965E+03        31.5464E+06        58.2843E+03        -4.83345E-03       16.1608E-03        16.1608E-03         0.                 0.                 0.               963.258E+06          0.                 8.71586E+06        3.23524E+09        3.24035E+09        0.                -4.82179E-03       -2.4109E-03        16.2921E-03         0.                -1.07859         -539.305E-03          5.                 0.         
                3.37079E-03       -4.89515E+03       -2.44756E+03        0.                 0.                 0.                 0.                 0.                 0.                33.6678E+06        68.4002E+03         0.                33.6678E+06        70.7966E+03        33.7489E+06        58.071E+03         -4.97395E-03       16.7135E-03        16.7135E-03         0.                 0.                 0.               997.001E+06          0.                18.7904E+06         3.34599E+09        3.357E+09          0.                -4.96158E-03       -2.48079E-03       16.8539E-03         0.                -1.51913         -759.551E-03          5.                 0.         
                3.48315E-03       -1.4476E+03      -724.13               0.                 0.                 1.60516E-03        0.                 0.                 0.                35.9341E+06        73.5896E+03         0.                35.9341E+06        72.5368E+03        36.023E+06         57.2829E+03        -5.17657E-03       17.2658E-03        17.2658E-03         0.                 0.                 0.                 1.02691E+09        0.                 4.6112E+06         3.45671E+09        3.4594E+09         0.                -5.16317E-03       -2.58158E-03       17.4157E-03         0.                -1.87546         -937.736E-03          5.                 0.         
                3.59551E-03        3.2968E+03         1.64782E+03        0.                 0.                -3.26767E-03        0.                 0.                 0.                38.2749E+06        71.9646E+03         0.                38.2749E+06        74.0382E+03        38.3633E+06        57.5664E+03        -5.39756E-03       17.8178E-03        17.8178E-03         0.                 0.                 0.                 1.05602E+09        0.               -16.7937E+06         3.56734E+09        3.55754E+09        0.                -5.38303E-03       -2.69152E-03       17.9775E-03         0.                -1.77157         -885.843E-03          5.                 0.         
                3.70787E-03        4.14892E+03        2.07382E+03        0.                 0.                57.3556E-06         0.                 0.                 0.                40.6883E+06        66.3574E+03         0.                40.6883E+06        75.7551E+03        40.7723E+06        58.1726E+03        -5.57681E-03       18.3696E-03        18.3696E-03         0.                 0.                 0.                 1.08793E+09        0.               -21.9055E+06         3.67793E+09        3.66517E+09        0.                -5.56128E-03       -2.78065E-03       18.5393E-03         0.                -1.35327         -676.762E-03          5.                 0.         
                3.82022E-03      504.04             253.329              0.                 0.               114.826E-06          0.                 0.                 0.                43.1729E+06        63.6149E+03         0.                43.1729E+06        78.0993E+03        43.2564E+06        58.1796E+03        -5.70341E-03       18.921E-03         18.921E-03          0.                 0.                 0.                 1.12293E+09        0.                -6.56461E+06        3.78848E+09        3.78467E+09        0.                -5.68714E-03       -2.8436E-03        19.1011E-03         0.                -1.09187         -546.023E-03          5.                 0.         
                3.93258E-03       -3.40026E+03       -1.69872E+03        0.                 0.               631.103E-06          0.                 0.                 0.                45.7314E+06        65.2513E+03         0.                45.7314E+06        80.7478E+03        45.8192E+06        58.2062E+03        -5.82361E-03       19.4722E-03        19.4721E-03         0.                 0.                 0.                 1.15794E+09        0.                11.2838E+06         3.899E+09          3.90555E+09        0.                -5.80664E-03       -2.90335E-03       19.6629E-03         0.                -1.25458         -627.225E-03          5.                 0.         
                4.04494E-03       -3.34318E+03       -1.67078E+03        0.                 0.              -114.72E-06           0.                 0.                 0.                48.3623E+06        69.9434E+03         0.                48.3623E+06        82.8997E+03        48.4574E+06        57.7782E+03        -5.98699E-03       20.0229E-03        20.0229E-03         0.                 0.                 0.                 1.19004E+09        0.                12.2428E+06         4.00942E+09        4.01653E+09        0.                -5.96907E-03       -2.98455E-03       20.2247E-03         0.                -1.63343         -816.523E-03          5.                 0.         
                4.1573E-03       312.916            155.563              0.                 0.               373.142E-06          0.                 0.                 0.                51.0652E+06        72.4537E+03         0.                51.0652E+06        84.5541E+03        51.1649E+06        57.3947E+03        -6.19281E-03       20.5734E-03        20.5734E-03         0.                 0.                 0.                 1.21964E+09        0.                -3.40685E+06        4.11979E+09        4.11783E+09        0.                -6.1737E-03        -3.08684E-03       20.7865E-03         0.                -1.80367         -901.648E-03          5.                 0.         
                4.26966E-03        3.36104E+03        1.68E+03           0.                 0.                28.7001E-06         0.                 0.                 0.                53.8417E+06        69.4438E+03         0.                53.8417E+06        86.1458E+03        53.9395E+06        57.8386E+03        -6.39476E-03       21.1237E-03        21.1237E-03         0.                 0.                 0.                 1.24975E+09        0.               -17.5724E+06         4.23014E+09        4.21995E+09        0.                -6.37439E-03       -3.18717E-03       21.3483E-03         0.                -1.59726         -798.526E-03          5.                 0.         
                4.38202E-03        2.56567E+03        1.28101E+03        0.                 0.                 1.0336E-03         0.                 0.                 0.                56.6895E+06        65.3582E+03         0.                56.6895E+06        88.0632E+03        56.7848E+06        58.1431E+03        -6.55402E-03       21.6735E-03        21.6735E-03         0.                 0.                 0.                 1.28257E+09        0.               -15.0964E+06         4.34042E+09        4.33167E+09        0.                -6.53264E-03       -3.26628E-03       21.9101E-03         0.                -1.2643          -632.177E-03          5.                 0.         
                4.49438E-03     -927.905           -465.262              0.                 0.               861.534E-06          0.                 0.                 0.                59.6091E+06        64.3983E+03         0.                59.6091E+06        90.4724E+03        59.7058E+06        58.1569E+03        -6.68073E-03       22.2231E-03        22.2231E-03         0.                 0.                 0.                 1.31716E+09        0.                83.52E+03           4.45067E+09        4.45071E+09        0.                -6.6585E-03        -3.32923E-03       22.4719E-03         0.                -1.17229         -586.349E-03          5.                 0.         
                4.60674E-03       -3.14334E+03       -1.57112E+03        0.                 0.              -229.568E-06          0.                 0.                 0.                62.6017E+06        66.9236E+03         0.                62.6017E+06        92.8702E+03        62.7034E+06        58.0685E+03        -6.81926E-03       22.7725E-03        22.7725E-03         0.                 0.                 0.                 1.35072E+09        0.                10.6127E+06         4.56085E+09        4.567E+09          0.                -6.79608E-03       -3.39805E-03       23.0337E-03         0.                -1.40102         -700.753E-03          5.                 0.         
                4.7191E-03        -1.78229E+03     -889.869              0.                 0.                -1.03421E-03        0.                 0.                 0.                65.6658E+06        70.5765E+03         0.                65.6658E+06        94.7977E+03        65.7736E+06        57.6403E+03        -6.99781E-03       23.3214E-03        23.3214E-03         0.                 0.                 0.                 1.38171E+09        0.                 5.47501E+06        4.67096E+09        4.67414E+09        0.                -6.97334E-03       -3.4867E-03        23.5955E-03         0.                -1.67774         -839.01E-03           5.                 0.         
                4.83146E-03        1.40935E+03      706.265              0.                 0.              -229.871E-06          0.                 0.                 0.                68.8022E+06        70.8775E+03         0.                68.8022E+06        96.4406E+03        68.912E+06         57.6002E+03        -7.19901E-03       23.8701E-03        23.8701E-03         0.                 0.                 0.                 1.41145E+09        0.                -8.57331E+06        4.78105E+09        4.77609E+09        0.                -7.1731E-03        -3.58659E-03       24.1573E-03         0.                -1.69869         -849.325E-03          5.                 0.         
