6.06283e-02 4.95533e-05  1.66364e+00 1.66368e+00 2.29387e-05
6.10583e-02 4.36772e-05  1.68721e+00 1.68725e+00 2.30317e-05
6.14882e-02 7.03060e-05  1.71094e+00 1.71101e+00 2.30981e-05
6.19181e-02 6.62345e-05  1.73484e+00 1.73489e+00 2.31699e-05
6.23481e-02 4.17961e-05  1.75889e+00 1.75893e+00 2.32478e-05
6.27780e-02 3.85862e-05  1.78312e+00 1.78315e+00 2.33278e-05
6.32080e-02 8.89787e-05  1.80750e+00 1.80758e+00 2.34075e-05
6.36379e-02 5.47744e-05  1.83206e+00 1.83211e+00 2.35060e-05
6.40678e-02 3.16009e-05  1.85677e+00 1.85679e+00 2.35810e-05
6.44978e-02 6.42744e-05  1.88164e+00 1.88170e+00 2.36678e-05
6.49277e-02 6.47278e-05  1.90669e+00 1.90675e+00 2.37291e-05
6.53576e-02 5.32833e-05  1.93189e+00 1.93194e+00 2.38184e-05
6.57876e-02 5.38855e-05  1.95727e+00 1.95731e+00 2.38774e-05
6.62175e-02 4.97019e-05  1.98280e+00 1.98284e+00 2.39961e-05
6.66474e-02 5.42123e-05  2.00849e+00 2.00854e+00 2.40875e-05
6.70774e-02 6.49855e-05  2.03436e+00 2.03442e+00 2.41651e-05
6.75073e-02 6.30605e-05  2.06038e+00 2.06044e+00 2.42453e-05
6.79372e-02 3.24083e-05  2.08657e+00 2.08660e+00 2.43291e-05
6.83672e-02 4.92574e-05  2.11293e+00 2.11297e+00 2.44030e-05
6.87971e-02 9.34751e-05  2.13943e+00 2.13952e+00 2.44730e-05
6.92270e-02 3.62824e-05  2.16612e+00 2.16615e+00 2.45669e-05
6.96570e-02 3.72710e-05  2.19296e+00 2.19299e+00 2.46313e-05
7.00869e-02 6.48367e-05  2.21997e+00 2.22003e+00 2.47122e-05
7.05168e-02 7.15210e-05  2.24714e+00 2.24720e+00 2.47798e-05
7.09468e-02 4.53938e-05  2.27447e+00 2.27451e+00 2.48707e-05
7.13767e-02 4.35135e-05  2.30196e+00 2.30200e+00 2.49616e-05
7.18066e-02 6.01165e-05  2.32963e+00 2.32968e+00 2.50645e-05
7.22366e-02 6.13993e-05  2.35744e+00 2.35750e+00 2.51733e-05
7.26665e-02 5.33534e-05  2.38544e+00 2.38549e+00 2.52467e-05
7.30964e-02 5.87166e-05  2.41358e+00 2.41363e+00 2.53400e-05
7.35264e-02 3.46539e-05  2.44190e+00 2.44193e+00 2.54063e-05
7.39563e-02 6.23156e-05  2.47038e+00 2.47043e+00 2.54715e-05
7.43862e-02 8.35596e-05  2.49901e+00 2.49909e+00 2.55453e-05
7.48161e-02 3.17791e-05  2.52782e+00 2.52784e+00 2.56033e-05
7.52461e-02 3.74748e-05  2.55678e+00 2.55682e+00 2.56657e-05
7.56760e-02 8.15580e-05  2.58591e+00 2.58599e+00 2.57272e-05
7.61059e-02 6.26904e-05  2.61521e+00 2.61526e+00 2.58286e-05
7.65359e-02 3.90745e-05  2.64466e+00 2.64469e+00 2.59025e-05
7.69658e-02 4.61240e-05  2.67428e+00 2.67432e+00 2.60246e-05
7.73957e-02 6.94570e-05  2.70406e+00 2.70412e+00 2.61235e-05
7.78256e-02 6.26183e-05  2.73400e+00 2.73406e+00 2.62476e-05
7.82556e-02 4.12332e-05  2.76411e+00 2.76415e+00 2.63462e-05
7.86855e-02 5.76400e-05  2.79437e+00 2.79442e+00 2.64325e-05
7.91154e-02 4.65529e-05  2.82481e+00 2.82485e+00 2.65020e-05
7.95453e-02 6.63639e-05  2.85540e+00 2.85547e+00 2.65667e-05
7.99753e-02 6.58841e-05  2.88616e+00 2.88622e+00 2.66281e-05
8.04052e-02 3.25835e-05  2.91708e+00 2.91711e+00 2.66844e-05
8.08351e-02 4.41903e-05  2.94817e+00 2.94821e+00 2.67446e-05
8.12650e-02 8.97168e-05  2.97941e+00 2.97949e+00 2.67958e-05
8.16950e-02 4.76019e-05  3.01083e+00 3.01087e+00 2.68512e-05
8.21249e-02 3.08417e-05  3.04239e+00 3.04241e+00 2.69262e-05
8.25548e-02 5.79025e-05  3.07413e+00 3.07418e+00 2.70213e-05
8.29847e-02 7.88870e-05  3.10602e+00 3.10609e+00 2.70936e-05
8.34147e-02 4.55450e-05  3.13808e+00 3.13812e+00 2.72084e-05
