
                             A:A1 PI: HOST-1 N  A:A1 PI: TRUSS-1   ALLIE Whole Model  ALLKE Whole Model  ALLVD Whole Model ALLSE Whole Model  ALLWK Whole Model  ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE11 PI: TRUSS  LE:LE22 PI: HOST-  RF:RF2 PI: HOST-1  RF:RF2 PI: TRUSS-  S:S11 PI: HOST-1   S:S11 PI: TRUSS-1  S:S22 PI: HOST-1   U:U1 PI: HOST-1 N  U:U1 PI: TRUSS-1   U:U2 PI: HOST-1 N  U:U2 PI: TRUSS-1  
                  X                 : 1                N: 2                -1                 -1                 -1               -1                 -1                l-1          1 E: 1 Centroid    -1 E: 1 Centroid   1 E: 1 Centroid          N: 1              1 N: 2         E: 1 Centroid       E: 1 Centroid     E: 1 Centroid           : 1                N: 2               : 1                N: 2       
                3.06818E-03        4.27761E+03        2.13881E+03       17.8991E+06        42.7065E+03        40.9479E+03      17.8991E+06        17.9489E+06        33.9129E+03        -3.71496E-03       12.198E-03         12.198E-03        723.542E+06          0.               -21.8159E+06         2.44132E+09        2.42596E+09       -3.70809E-03       -1.85404E-03       12.2727E-03        12.2727E-03  
                3.18182E-03      962.517            481.263             19.2416E+06        40.2564E+03        42.4872E+03      19.2416E+06        19.2908E+06        33.6246E+03        -3.81363E-03       12.6469E-03        12.647E-03        752.523E+06          0.                -7.97514E+06        2.53124E+09        2.52404E+09       -3.80638E-03       -1.90319E-03       12.7273E-03        12.7273E-03  
                3.29545E-03       -3.12553E+03       -1.56276E+03       20.6336E+06        41.1756E+03        44.3565E+03      20.6336E+06        20.6857E+06        33.4181E+03        -3.89978E-03       13.0957E-03        13.0957E-03       781.907E+06          0.                10.6383E+06         2.62113E+09        2.62493E+09       -3.89223E-03       -1.94612E-03       13.1818E-03        13.1818E-03  
                3.40909E-03       -3.52902E+03       -1.76451E+03       22.0737E+06        44.8161E+03        45.8472E+03      22.0737E+06        22.1315E+06        32.8594E+03        -4.02658E-03       13.5442E-03        13.5442E-03       808.523E+06          0.                13.6384E+06         2.71099E+09        2.71642E+09       -4.01846E-03       -2.00923E-03       13.6364E-03        13.6364E-03  
                3.52273E-03      -96.2422           -48.1243            23.5612E+06        47.3155E+03        46.9088E+03      23.5612E+06        23.6233E+06        32.1688E+03        -4.199E-03         13.9925E-03        13.9925E-03       832.389E+06          0.              -994.209E+03          2.8008E+09         2.79728E+09       -4.19025E-03       -2.09512E-03       14.0909E-03        14.0909E-03  
                3.63636E-03        3.18144E+03        1.59072E+03       25.0978E+06        45.1653E+03        47.8974E+03      25.0978E+06        25.1586E+06        32.2348E+03        -4.37284E-03       14.4407E-03        14.4407E-03       856.454E+06          0.               -16.1416E+06         2.89057E+09        2.8778E+09        -4.36328E-03       -2.18164E-03       14.5454E-03        14.5454E-03  
                3.75E-03           2.78493E+03        1.39246E+03       26.6814E+06        41.7552E+03        49.105E+03       26.6814E+06        26.7401E+06        32.215E+03         -4.50533E-03       14.8886E-03        14.8886E-03       883.199E+06          0.               -15.4487E+06         2.98031E+09        2.96778E+09       -4.49523E-03       -2.24762E-03       15.E-03            15.E-03      
                3.86364E-03     -575.902           -287.954             28.3125E+06        40.7427E+03        50.7313E+03      28.3125E+06        28.3721E+06        31.8953E+03        -4.60177E-03       15.3363E-03        15.3363E-03       911.998E+06          0.              -888.369E+03          3.07002E+09        3.06604E+09       -4.59122E-03       -2.29561E-03       15.4545E-03        15.4545E-03  
                3.97727E-03       -3.04947E+03       -1.52474E+03       29.9924E+06        42.4755E+03        52.4063E+03      29.9924E+06        30.0557E+06        31.5624E+03        -4.70572E-03       15.7839E-03        15.7838E-03       940.028E+06          0.                10.7712E+06         3.1597E+09         3.16252E+09       -4.69464E-03       -2.34732E-03       15.9091E-03        15.9091E-03  
                4.09091E-03       -2.0355E+03        -1.01775E+03       31.7197E+06        45.5193E+03        53.699E+03       31.7197E+06        31.788E+06         30.8885E+03        -4.84925E-03       16.2312E-03        16.2312E-03       965.481E+06          0.                 7.18257E+06        3.24934E+09        3.24982E+09       -4.83745E-03       -2.41872E-03       16.3636E-03        16.3636E-03  
                4.20455E-03        1.10335E+03      551.678             33.4948E+06        46.155E+03         54.7425E+03      33.4948E+06        33.5652E+06        30.4586E+03        -5.0191E-03        16.6783E-03        16.6783E-03       989.441E+06          0.                -6.59886E+06        3.33896E+09        3.33095E+09       -5.00654E-03       -2.50327E-03       16.8182E-03        16.8182E-03  
                4.31818E-03        2.81417E+03        1.40709E+03       35.318E+06         43.6455E+03        55.8153E+03      35.318E+06         35.387E+06         30.4554E+03        -5.17471E-03       17.1252E-03        17.1252E-03         1.01449E+09        0.               -14.9051E+06         3.42851E+09        3.41533E+09       -5.16138E-03       -2.58069E-03       17.2727E-03        17.2727E-03  
                4.43182E-03        1.35913E+03      679.566             37.188E+06         41.4398E+03        57.1599E+03      37.188E+06         37.2563E+06        30.2204E+03        -5.29388E-03       17.572E-03         17.572E-03          1.04181E+09        0.                -9.19026E+06        3.51806E+09        3.50809E+09       -5.27988E-03       -2.63994E-03       17.7273E-03        17.7273E-03  
                4.54545E-03       -1.44549E+03     -722.748             39.1058E+06        41.4805E+03        58.7733E+03      39.1058E+06        39.1762E+06        29.8626E+03        -5.39535E-03       18.0185E-03        18.0185E-03         1.07E+09           0.                 3.28383E+06        3.60759E+09        3.60486E+09       -5.38083E-03       -2.69042E-03       18.1818E-03        18.1818E-03  
                4.65909E-03       -2.46343E+03       -1.23171E+03       41.0716E+06        43.5415E+03        60.2626E+03      41.0716E+06        41.146E+06         29.3706E+03        -5.51563E-03       18.4648E-03        18.4648E-03         1.09681E+09        0.                 8.5113E+06         3.69704E+09        3.69724E+09       -5.50045E-03       -2.75022E-03       18.6364E-03        18.6364E-03  
                4.77273E-03     -731.36            -365.679             43.0845E+06        45.5403E+03        61.4473E+03      43.0845E+06        43.1628E+06        28.7372E+03        -5.66788E-03       18.9109E-03        18.9109E-03         1.12161E+09        0.                 1.40422E+06        3.78647E+09        3.78218E+09       -5.65187E-03       -2.82594E-03       19.0909E-03        19.0909E-03  
                4.88636E-03        1.66424E+03      832.122             45.1452E+06        44.9275E+03        62.5128E+03      45.1452E+06        45.2242E+06        28.4412E+03        -5.82966E-03       19.3569E-03        19.3569E-03         1.14598E+09        0.                -9.38899E+06        3.8759E+09         3.86487E+09       -5.81274E-03       -2.90637E-03       19.5454E-03        19.5454E-03  
                5.E-03             2.07862E+03        1.03931E+03       47.2532E+06        42.7109E+03        63.6852E+03      47.2532E+06        47.3313E+06        28.2835E+03        -5.9699E-03        19.8026E-03        19.8026E-03         1.1718E+09         0.               -11.8987E+06         3.96525E+09        3.95249E+09       -5.95212E-03       -2.97606E-03       20.E-03            20.E-03      
                5.11364E-03      215.867            107.944             49.408E+06         41.544E+03         65.1146E+03      49.408E+06         49.4867E+06        27.9225E+03        -6.08312E-03       20.2481E-03        20.2481E-03         1.19922E+09        0.                -4.05066E+06        4.05459E+09        4.04629E+09       -6.06466E-03       -3.03233E-03       20.4545E-03        20.4545E-03  
                5.22727E-03       -1.72967E+03     -864.828             51.6106E+06        42.2975E+03        66.6516E+03      51.6106E+06        51.6921E+06        27.4957E+03        -6.19353E-03       20.6935E-03        20.6935E-03         1.22661E+09        0.                 4.84857E+06        4.14389E+09        4.14068E+09       -6.17441E-03       -3.08721E-03       20.9091E-03        20.9091E-03  
                5.34091E-03       -1.64242E+03     -821.21              53.8605E+06        44.2042E+03        67.9971E+03      53.8605E+06        53.9458E+06        26.8986E+03        -6.32651E-03       21.1386E-03        21.1386E-03         1.25247E+09        0.                 5.07426E+06        4.23315E+09        4.22982E+09       -6.3065E-03        -3.15325E-03       21.3636E-03        21.3636E-03  
                5.45455E-03      225.764            112.877             56.1574E+06        45.0991E+03        69.1358E+03      56.1574E+06        56.2453E+06        26.3616E+03        -6.48076E-03       21.5836E-03        21.5836E-03         1.27704E+09        0.                -2.94103E+06        4.32239E+09        4.31398E+09       -6.4598E-03        -3.2299E-03        21.8182E-03        21.8182E-03  
                5.56818E-03        1.71005E+03      855.015             58.5018E+06        43.8901E+03        70.2493E+03      58.5018E+06        58.5898E+06        26.0807E+03        -6.63215E-03       22.0283E-03        22.0283E-03         1.30192E+09        0.                -9.85937E+06        4.41157E+09        4.39876E+09       -6.61018E-03       -3.30509E-03       22.2727E-03        22.2727E-03  
                5.68182E-03        1.22899E+03      614.486             60.8928E+06        42.2529E+03        71.514E+03       60.8928E+06        60.9808E+06        25.7686E+03        -6.76123E-03       22.4728E-03        22.4728E-03         1.32821E+09        0.                -8.25739E+06        4.50073E+09        4.48861E+09       -6.73847E-03       -3.36924E-03       22.7273E-03        22.7273E-03  
                5.79545E-03     -542.765           -271.396             63.3309E+06        41.9051E+03        72.968E+03       63.3309E+06        63.4205E+06        25.3342E+03        -6.87447E-03       22.9172E-03        22.9172E-03         1.35538E+09        0.              -537.914E+03          4.58988E+09        4.58209E+09       -6.8509E-03        -3.42545E-03       23.1818E-03        23.1818E-03  
                5.90909E-03       -1.58041E+03     -790.212             65.8163E+06        43.0236E+03        74.4057E+03      65.8163E+06        65.909E+06         24.8026E+03        -6.99475E-03       23.3613E-03        23.3613E-03         1.38194E+09        0.                 4.43874E+06        4.67899E+09        4.67388E+09       -6.97034E-03       -3.48517E-03       23.6363E-03        23.6363E-03  
                6.02273E-03     -812.922           -406.459             68.3486E+06        44.434E+03         75.6568E+03      68.3486E+06        68.4445E+06        24.1822E+03        -7.13561E-03       23.8053E-03        23.8053E-03         1.40716E+09        0.                 1.48052E+06        4.76804E+09        4.76088E+09       -7.11018E-03       -3.55509E-03       24.0909E-03        24.0909E-03  
                6.13636E-03      785.159            392.586             70.9278E+06        44.4513E+03        76.7902E+03      70.9278E+06        71.0254E+06        23.7026E+03        -7.28698E-03       24.249E-03         24.249E-03          1.4318E+09         0.                -5.57563E+06        4.8571E+09         4.84538E+09       -7.26053E-03       -3.63026E-03       24.5454E-03        24.5454E-03  
                6.25E-03           1.41076E+03      705.384             73.5539E+06        43.1495E+03        77.9648E+03      73.5539E+06        73.6517E+06        23.3577E+03        -7.42827E-03       24.6926E-03        24.6926E-03         1.45714E+09        0.                -8.73397E+06        4.94607E+09        4.93217E+09       -7.40073E-03       -3.70037E-03       25.E-03            25.E-03      
                6.36364E-03      458.605            229.302             76.2266E+06        42.1465E+03        79.2952E+03      76.2266E+06        76.3251E+06        22.9396E+03        -7.5512E-03        25.136E-03         25.136E-03          1.4836E+09         0.                -4.86177E+06        5.03504E+09        5.02315E+09       -7.52272E-03       -3.76136E-03       25.4545E-03        25.4545E-03  
                6.47727E-03     -912.287           -456.142             78.9462E+06        42.381E+03         80.7257E+03      78.9462E+06        79.0468E+06        22.4281E+03        -7.66807E-03       25.5791E-03        25.5791E-03         1.5103E+09         0.                 1.27752E+06        5.12396E+09        5.11545E+09       -7.63878E-03       -3.81939E-03       25.9091E-03        25.9091E-03  
                6.59091E-03       -1.17593E+03     -587.962             81.7125E+06        43.5339E+03        82.0711E+03      81.7125E+06        81.8163E+06        21.8277E+03        -7.79692E-03       26.0221E-03        26.0221E-03         1.53614E+09        0.                 2.82203E+06        5.21289E+09        5.20495E+09       -7.76662E-03       -3.88331E-03       26.3636E-03        26.3636E-03  
                6.70455E-03     -130.947            -65.4707            84.5256E+06        44.3169E+03        83.2709E+03      84.5256E+06        84.6319E+06        21.2174E+03        -7.9411E-03        26.4649E-03        26.4649E-03         1.56102E+09        0.                -1.55013E+06        5.30175E+09        5.29086E+09       -7.90965E-03       -3.95483E-03       26.8182E-03        26.8182E-03  
                6.81818E-03      981.522            490.762             87.3853E+06        43.8019E+03        84.4247E+03      87.3853E+06        87.4927E+06        20.7485E+03        -8.08696E-03       26.9074E-03        26.9074E-03         1.58586E+09        0.                -6.60861E+06        5.39056E+09        5.37632E+09       -8.05438E-03       -4.02719E-03       27.2727E-03        27.2727E-03  
