
                             A:A1 PI: HOST-1 N  A:A2 PI: HOST-1 N  ALLAE Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLSE Whole Model  ALLWK Whole Model                     ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE12 PI: HOST-  RF:RF1 PI: HOST-1  RF:RF2 PI: HOST-1  S:S11 PI: HOST-1   S:S12 PI: HOST-1   U:U1 PI: HOST-1 N  U:U2 PI: HOST-1 N
                  X                 : 1                : 1                 -1                 -1                 -1                 -1                 -1          DT Whole Model-1         l-1          1 E: 1 Centroid    1 E: 1 Centroid          N: 1               N: 1          E: 1 Centroid      E: 1 Centroid           : 1                : 1       
                9.4382E-03         0.                 0.                 0.                85.6497E+06        48.75E+03          85.6497E+06        85.6501E+06       112.36E-06          48.3708E+03       556.52E-06          47.1735E-03       893.206E+06        893.881E+06        114.192E+06          3.62993E+09       47.191E-03          0.         
                9.55056E-03        0.                 0.                 0.                87.7011E+06        48.75E+03          87.7011E+06        87.7015E+06       112.36E-06          48.3541E+03       569.843E-06         47.7346E-03       903.673E+06        904.37E+06         116.953E+06          3.67314E+09       47.7528E-03         0.         
                9.66292E-03        0.                 0.                 0.                89.7768E+06        48.75E+03          89.7768E+06        89.7772E+06       112.36E-06          48.3483E+03       583.353E-06         48.2957E-03       914.124E+06        914.846E+06        119.694E+06          3.71636E+09       48.3146E-03         0.         
                9.77528E-03        0.                 0.                 0.                91.8767E+06        48.75E+03          91.8767E+06        91.8772E+06       112.36E-06          48.313E+03        596.934E-06         48.8568E-03       924.578E+06        925.328E+06        122.497E+06          3.75957E+09       48.8764E-03         0.         
                9.88764E-03        0.                 0.                 0.                94.001E+06         48.75E+03          94.001E+06         94.0014E+06       112.36E-06          48.3205E+03       610.764E-06         49.4181E-03       935.03E+06         935.805E+06        125.338E+06          3.80278E+09       49.4382E-03         0.         
               10.E-03             0.                 0.                 0.                96.1495E+06        48.75E+03          96.1495E+06        96.15E+06         112.359E-06         48.2938E+03       624.779E-06         49.9793E-03       945.475E+06        946.273E+06        128.204E+06          3.846E+09         50.E-03             0.         




