																																																																																									                                           
                             A:A1 PI: FIBERS0   A:A1 PI: HOST-1 N  ALLIE Whole Model  ALLKE Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model  ETOTAL Whole Mode   LE:LE11 PI: HOST-  LE:LE22 PI: HOST- LE:LE11 PI: FIBER   RF:RF2 PI: HOST-1  RF:RF2 PI: FIBER S:S11 PI: HOST-1   S:S22 PI: HOST-1  SS:S11 PI: FIBERS0 U:  U:U1 PI: HOST-1 N  U1 PI: FIBERS0   U:U2 PI: HOST-1 N   U:U2 PI: FIBERS0 
                  X                 N: 2               : 1                 -1                 -1                 -1                 -1                 -1                l-1           1 E: 1 Centroid    1 E: 1 Centroid   S0 E: 1 Centroid          N: 1              0 N: 2       E: 1 Centroid      E: 1 Centroid       E: 1 Centroid             : 1              N: 2               : 1                 N: 2      
                3.03371E-03     -439.133             -5.50489E+03       32.2993E+06        80.2216E+03        32.2993E+06        92.7311E+03        32.4068E+06        65.4345E+03         -4.45445E-03       15.0547E-03       15.0547E-03          1.06433E+09        0.              26.6814E+06         3.02923E+09        3.01358E+09          -4.44456E-03   -354.624E-06         15.1685E-03         13.9583E-03 
                3.14607E-03      -86.5626            -1.08464E+03       34.7193E+06        87.1082E+03        34.7193E+06        95.2996E+03        34.8375E+06        64.2065E+03         -4.67804E-03       15.6079E-03       15.6079E-03          1.09903E+09        0.               4.44995E+06        3.12705E+09        3.12445E+09          -4.66718E-03   -372.383E-06         15.7303E-03         14.4752E-03 
                3.25843E-03      322.188              4.03966E+03       37.229E+06         83.8563E+03        37.229E+06         97.7025E+03        37.3457E+06        64.8233E+03         -4.91546E-03       16.1608E-03       16.1608E-03          1.13326E+09        0.             -23.214E+06          3.22167E+09        3.23524E+09          -4.90348E-03   -391.235E-06         16.2921E-03         14.9922E-03 
                3.37079E-03      414.503              5.19754E+03       39.8247E+06        75.4572E+03        39.8247E+06       100.333E+03         39.9346E+06        65.9058E+03         -5.10172E-03       16.7135E-03       16.7135E-03          1.17086E+09        0.             -30.994E+06          3.32788E+09        3.34599E+09          -5.08879E-03   -406.02E-06          16.8539E-03         15.5092E-03 
                3.48315E-03      126.767              1.59081E+03       42.5036E+06        71.002E+03         42.5036E+06       103.723E+03         42.6124E+06        65.9579E+03         -5.22207E-03       17.2658E-03       17.2658E-03          1.21234E+09        0.             -13.1169E+06         3.44905E+09        3.45671E+09          -5.20848E-03   -415.571E-06         17.4157E-03         16.0262E-03 
                3.59551E-03     -256.302             -3.21301E+03       45.2706E+06        71.9345E+03        45.2706E+06       107.682E+03         45.3842E+06        66.0017E+03         -5.32227E-03       17.8179E-03       17.8178E-03          1.25461E+09        0.              12.5776E+06         3.5747E+09         3.56734E+09          -5.30809E-03   -423.522E-06         17.9775E-03         16.5431E-03 
                3.70787E-03     -382.419             -4.79526E+03       48.1245E+06        77.7538E+03        48.1245E+06       111.172E+03         48.2479E+06        65.6151E+03         -5.46322E-03       18.3696E-03       18.3696E-03          1.29403E+09        0.              22.3725E+06         3.69099E+09        3.67793E+09          -5.44826E-03   -434.709E-06         18.5393E-03         17.0601E-03 
                3.82022E-03     -153.22              -1.92262E+03       51.0624E+06        84.196E+03         51.0624E+06       113.904E+03         51.1959E+06        64.6053E+03         -5.66502E-03       18.921E-03        18.921E-03           1.32973E+09        0.               8.40448E+06        3.79339E+09        3.78848E+09          -5.64897E-03   -450.724E-06         19.1011E-03         17.5771E-03 
                3.93258E-03      200.397              2.51139E+03       54.0876E+06        83.572E+03         54.0876E+06       116.367E+03         54.2228E+06        64.7223E+03         -5.89128E-03       19.4721E-03       19.4722E-03          1.36422E+09        0.             -15.1189E+06         3.89019E+09        3.899E+09            -5.87395E-03   -468.673E-06         19.6629E-03         18.0941E-03 
                4.04494E-03      350.491              4.39349E+03       57.1993E+06        77.0962E+03        57.1993E+06       118.956E+03         57.3297E+06        65.6452E+03         -6.08566E-03       20.0229E-03       20.0229E-03          1.40089E+09        0.             -26.283E+06          3.99413E+09        4.00942E+09          -6.06722E-03   -484.092E-06         20.2247E-03         18.611E-03  
