
                             A:A1 PI: HOST-1 N  A:A1 PI: TRUSS-1   A:A2 PI: HOST-1 N  A:A2 PI: TRUSS-1   ALLAE Whole Model ALLCD Whole Model  ALLDMD Whole Mode  ALLFD Whole Model  ALLIE Whole Model  ALLKE Whole Model ALLPD Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model  ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE11 PI: TRUSS  LE:LE22 PI: HOST-  LE:LE22 PI: TRUSS  RF:RF1 PI: HOST-1  RF:RF1 PI: TRUSS-  RF:RF2 PI: HOST-1  RF:RF2 PI: TRUSS-  S:S11 PI: HOST-1   S:S11 PI: TRUSS-1  S:S22 PI: HOST-1   S:S22 PI: TRUSS-1  U:U1 PI: HOST-1 N  U:U1 PI: TRUSS-1   U:U2 PI: HOST-1 N  U:U2 PI: TRUSS-1 
                  X                 : 1                N: 1               : 1                N: 1                -1                -1                l-1                 -1                 -1                 -1                -1                 -1                 -1                 -1                l-1          1 E: 1 Centroid    -1 E: 1 Centroid   1 E: 1 Centroid    -1 E: 1 Centroid         N: 1              1 N: 1              N: 1              1 N: 1         E: 1 Centroid       E: 1 Centroid     E: 1 Centroid       E: 1 Centroid          : 1                N: 1               : 1                N: 1      
                4.26966E-03      -24.3726E+03       -18.2774E+03        50.1055E+03         0.               347.324E-06         0.                 0.                 0.               174.301E+06        402.165E+03         0.               174.301E+06        164.493E+03        174.842E+06         25.7381E+03       -12.0265E-03        40.6886E-03        40.6887E-03         0.                 0.                 0.                 0.                 0.                89.0297E+06         8.15994E+09        8.21009E+09        0.               -11.9544E-03        -8.96588E-03       41.5277E-03         0.         
                4.38202E-03      -14.4792E+03       -10.8552E+03        27.9982E+03         0.               275.213E-09         0.                 0.                 0.               189.216E+06        759.671E+03         0.               189.216E+06        169.869E+03        190.137E+06          8.41401E+03      -12.6368E-03        42.3846E-03        42.3846E-03         0.                 0.                 0.                 0.                 0.                50.2264E+06         8.50118E+09        8.52942E+09        0.               -12.5572E-03        -9.41802E-03       43.2956E-03         0.         
                4.49438E-03        4.03613E+03        3.03098E+03       -5.36233E+03        0.                 1.1587E-03        0.                 0.                 0.               207.909E+06        882.478E+03         0.               207.909E+06        176.06E+03         208.966E+06        865.689            -13.4327E-03        44.4158E-03        44.4158E-03         0.                 0.                 0.                 0.                 0.               -22.1372E+06         8.91009E+09        8.89768E+09        0.               -13.3428E-03       -10.0072E-03        45.4169E-03         0.         
                4.60674E-03       19.3126E+03        14.4827E+03       -37.0729E+03         0.                -1.15842E-03       0.                 0.                 0.               226.839E+06        650.443E+03         0.               226.839E+06        182.586E+03        227.657E+06         15.3828E+03       -14.1775E-03        46.3783E-03        46.3783E-03         0.                 0.                 0.                 0.                 0.               -82.5756E+06         9.30524E+09        9.2592E+09         0.               -14.0775E-03       -10.5581E-03        47.4706E-03         0.         
                4.7191E-03        23.326E+03         17.4932E+03       -53.0554E+03         0.              -144.694E-06         0.                 0.                 0.               241.994E+06        288.559E+03         0.               241.994E+06        188.577E+03        242.443E+06         28.2843E+03       -14.6755E-03        47.8909E-03        47.8909E-03         0.                 0.                 0.                 0.                 0.               -98.8789E+06         9.60992E+09        9.55493E+09        0.               -14.5684E-03       -10.9262E-03        49.0562E-03         0.         
                4.83146E-03       16.9487E+03        12.7074E+03       -43.5407E+03         0.               667.467E-06         0.                 0.                 0.               250.948E+06         68.5169E+03        0.               250.948E+06        192.89E+03         251.189E+06         19.7191E+03       -14.8747E-03        48.7634E-03        48.7635E-03         0.                 0.                 0.                 0.                 0.               -73.1949E+06         9.78574E+09        9.74508E+09        0.               -14.7648E-03       -11.0734E-03        49.972E-03          0.         
                4.94382E-03        4.73226E+03        3.54553E+03      -11.7869E+03         0.                -1.59579E-03       0.                 0.                 0.               254.564E+06         14.382E+03         0.               254.564E+06        195.472E+03        254.768E+06          5.10705E+03      -14.8569E-03        49.112E-03         49.1121E-03         0.                 0.                 0.                 0.                 0.               -24.0128E+06         9.85597E+09        9.84265E+09        0.               -14.7472E-03       -11.0603E-03        50.3381E-03         0.         
                5.05618E-03       -9.55433E+03       -7.16908E+03       25.5132E+03         0.              -174.142E-06         0.                 0.                 0.               256.73E+06          23.0891E+03        0.               256.73E+06         197.5E+03          256.942E+06          9.29508E+03      -14.7785E-03        49.3189E-03        49.319E-03          0.                 0.                 0.                 0.                 0.                32.2628E+06         9.89766E+09        9.9156E+09         0.               -14.6699E-03       -11.0023E-03        50.5554E-03         0.         
                5.16854E-03      -21.1326E+03       -15.8492E+03        49.2682E+03         0.              -580.735E-06         0.                 0.                 0.               262.156E+06        126.045E+03         0.               262.156E+06        200.101E+03        262.457E+06         25.0425E+03       -14.8225E-03        49.8323E-03        49.8323E-03         0.                 0.                 0.                 0.                 0.                76.7011E+06        10.0011E+09        10.0437E+09         0.               -14.7132E-03       -11.0349E-03        51.0949E-03         0.         
                5.2809E-03       -23.3111E+03       -17.4796E+03        49.6589E+03         0.                 1.80186E-03       0.                 0.                 0.               274.E+06           415.497E+03         0.               274.E+06           203.986E+03        274.593E+06         25.616E+03        -15.1373E-03        50.9366E-03        50.9366E-03         0.                 0.                 0.                 0.                 0.                84.4391E+06        10.2237E+09        10.2705E+09         0.               -15.0232E-03       -11.2675E-03        52.2563E-03         0.         
                5.39326E-03      -13.0962E+03        -9.81985E+03       28.4469E+03         0.                 1.68723E-03       0.                 0.                 0.               292.712E+06        771.24E+03          0.               292.712E+06        209.294E+03        293.683E+06          8.96692E+03      -15.7511E-03        52.6348E-03        52.6348E-03         0.                 0.                 0.                 0.                 0.                44.4772E+06        10.5661E+09        10.5907E+09         0.               -15.6276E-03       -11.7208E-03        54.0446E-03         0.         
