
                             A:A1 PI: HOST-1 N  A:A2 PI: HOST-1 N  ALLAE Whole Model  ALLCD Whole Model  ALLDMD Whole Mode  ALLFD Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLPD Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model                     ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE22 PI: HOST-  RF:RF1 PI: HOST-1  RF:RF2 PI: HOST-1  S:S11 PI: HOST-1   S:S22 PI: HOST-1   U:U1 PI: HOST-1 N  U:U2 PI: HOST-1 N
                  X                 : 1                : 1                 -1                 -1                l-1                 -1                 -1                 -1                 -1                 -1                 -1                 -1          DT Whole Model-1         l-1          1 E: 1 Centroid    1 E: 1 Centroid          N: 8               N: 8          E: 1 Centroid      E: 1 Centroid           : 1                : 1       
                4.7191E-03        23.7213E+03       -58.7815E+03      -348.077E-06          0.                 0.                 0.               252.836E+06        276.75E+03           0.               252.836E+06        137.613E+03        253.218E+06        112.36E-06          32.4808E+03       -15.2761E-03        49.8936E-03        23.1274E+06        -2.41686E+09      -97.0454E+06         9.95969E+09      -15.1601E-03        51.1592E-03 
                4.83146E-03       18.3073E+03       -44.6033E+03       319.446E-06          0.                 0.                 0.               261.408E+06         56.5037E+03         0.               261.408E+06        140.733E+03        261.585E+06        112.36E-06          20.6898E+03       -15.4732E-03        50.7267E-03        17.8477E+06        -2.45922E+09      -75.1793E+06        10.1398E+09       -15.3541E-03        52.0353E-03 
                4.94382E-03        5.02198E+03       -8.86338E+03        1.85866E-03        0.                 0.                 0.               264.495E+06         11.6674E+03         0.               264.495E+06        142.934E+03        264.645E+06        112.36E-06           5.09859E+03      -15.4355E-03        51.0242E-03         4.89493E+06       -2.48055E+09      -24.2077E+06        10.228E+09        -15.3171E-03        52.3483E-03 
                5.05618E-03      -12.0446E+03        29.7808E+03       413.267E-09          0.                 0.                 0.               266.499E+06         23.5701E+03         0.               266.499E+06        145.141E+03        266.656E+06        112.36E-06          11.5478E+03       -15.3335E-03        51.2153E-03       -11.7423E+06        -2.49905E+09       39.69E+06          10.3019E+09       -15.2166E-03        52.5494E-03 
                5.16854E-03      -24.2948E+03        53.787E+03       -639.282E-06          0.                 0.                 0.               272.295E+06        142.756E+03          0.               272.295E+06        147.846E+03        272.557E+06        112.36E-06          29.3692E+03       -15.386E-03         51.7634E-03       -23.6867E+06        -2.53183E+09       85.0476E+06        10.4375E+09       -15.2682E-03        53.1265E-03 
                5.2809E-03       -24.0558E+03        53.7012E+03       610.982E-06          0.                 0.                 0.               285.087E+06        473.412E+03          0.               285.087E+06        150.913E+03        285.682E+06        112.36E-06          29.2238E+03       -15.75E-03          52.9555E-03       -23.4537E+06        -2.58809E+09       83.7717E+06        10.677E+09        -15.6265E-03        54.3827E-03 
                5.39326E-03      -11.5737E+03        29.5826E+03      -639.553E-06          0.                 0.                 0.               305.322E+06        861.663E+03          0.               305.322E+06        154.289E+03        306.327E+06        112.36E-06          11.5689E+03       -16.4228E-03        54.7881E-03       -11.2773E+06        -2.66778E+09       36.4716E+06        11.0205E+09       -16.2886E-03        56.3168E-03 
                5.50562E-03        5.48272E+03       -8.74811E+03      582.517E-06          0.                 0.                 0.               330.356E+06        968.404E+03          0.               330.356E+06        158.318E+03        331.477E+06        112.36E-06           5.65121E+03      -17.2446E-03        56.9702E-03         5.34796E+06       -2.76134E+09      -28.2451E+06        11.4253E+09       -17.0967E-03        58.6243E-03 
                5.61798E-03       18.7393E+03       -43.7663E+03       132.641E-09          0.                 0.                 0.               355.086E+06        688.879E+03          0.               355.086E+06        162.923E+03        355.917E+06        112.36E-06          21.1925E+03       -17.9966E-03        59.0435E-03        18.2678E+06        -2.85166E+09      -78.2663E+06        11.8166E+09       -17.8356E-03        60.8214E-03 
                5.73034E-03       23.5213E+03       -58.0154E+03       641.44E-06           0.                 0.                 0.               374.155E+06        291.103E+03          0.               374.155E+06        167.133E+03        374.58E+06         112.36E-06          32.7572E+03       -18.5081E-03        60.5927E-03        22.925E+06         -2.92174E+09      -95.4449E+06        12.1201E+09       -18.3379E-03        62.466E-03  
                5.8427E-03        18.4206E+03       -44.4067E+03      -874.177E-06          0.                 0.                 0.               384.924E+06         64.1187E+03         0.               384.924E+06        170.237E+03        385.137E+06        112.36E-06          21.5437E+03       -18.7174E-03        61.4508E-03        17.9598E+06        -2.96464E+09      -75.1114E+06        12.3046E+09       -18.5433E-03        63.3782E-03 
                5.95506E-03        4.86051E+03      -10.1767E+03       145.914E-06          0.                 0.                 0.               389.104E+06         13.7812E+03         0.               389.104E+06        172.567E+03        389.284E+06        112.36E-06           6.18361E+03      -18.6897E-03        61.7814E-03         4.73651E+06       -2.98745E+09      -23.6605E+06        12.3994E+09       -18.5161E-03        63.7297E-03 
                6.06742E-03      -11.732E+03         28.0902E+03       -58.2931E-06         0.                 0.                 0.               391.778E+06         24.8234E+03         0.               391.778E+06        174.782E+03        391.966E+06        112.36E-06          11.7768E+03       -18.5996E-03        61.991E-03        -11.4371E+06        -3.00632E+09       38.2381E+06        12.4755E+09       -18.4276E-03        63.9528E-03 
                6.17978E-03      -23.0604E+03        53.2703E+03        49.1927E-09         0.                 0.                 0.               398.751E+06        142.024E+03          0.               398.751E+06        177.285E+03        399.041E+06        112.36E-06          29.2708E+03       -18.6603E-03        62.5339E-03       -22.4796E+06        -3.03795E+09       80.0431E+06        12.6079E+09       -18.4872E-03        64.5304E-03 
                6.29213E-03      -23.0441E+03        54.5464E+03         1.34341E-03        0.                 0.                 0.               414.014E+06        468.756E+03          0.               414.014E+06        180.245E+03        414.633E+06        112.36E-06          30.1024E+03       -19.0177E-03        63.7076E-03       -22.4642E+06        -3.09289E+09       79.3758E+06        12.8446E+09       -18.8379E-03        65.7806E-03 
                6.40449E-03      -12.0676E+03        31.1501E+03      -817.362E-06          0.                 0.                 0.               438.215E+06        863.502E+03          0.               438.215E+06        183.861E+03        439.25E+06         112.36E-06          13.2471E+03       -19.6718E-03        65.525E-03        -11.7627E+06        -3.17188E+09       37.667E+06         13.1893E+09       -19.4795E-03        67.7195E-03 
                6.51685E-03        3.89491E+03       -6.75499E+03      234.098E-06          0.                 0.                 0.               468.209E+06        992.448E+03          0.               468.209E+06        188.276E+03        469.383E+06        112.36E-06           6.27421E+03      -20.4818E-03        67.7068E-03         3.7965E+06        -3.26501E+09      -22.5162E+06        13.5981E+09       -20.2735E-03        70.0516E-03 
                6.62921E-03       17.4444E+03       -41.748E+03        994.721E-06          0.                 0.                 0.               498.015E+06        731.976E+03          0.               498.015E+06        193.097E+03        498.92E+06         112.36E-06          20.5078E+03       -21.2423E-03        69.8044E-03        17.0044E+06        -3.35531E+09      -73.0443E+06        13.9955E+09       -21.0183E-03        72.2984E-03 
                6.74157E-03       23.1484E+03       -57.2592E+03       527.389E-06          0.                 0.                 0.               521.42E+06         329.23E+03           0.               521.42E+06         197.415E+03        521.914E+06        112.36E-06          32.9274E+03       -21.7782E-03        71.4069E-03        22.5653E+06        -3.42661E+09      -93.4826E+06        14.3091E+09       -21.5429E-03        74.0182E-03 
                6.85393E-03       18.6884E+03       -46.133E+03         -1.0246E-03         0.                 0.                 0.               535.209E+06         80.9685E+03         0.               535.209E+06        200.69E+03         535.468E+06        112.36E-06          23.5905E+03       -22.0158E-03        72.3347E-03        18.2136E+06        -3.47194E+09      -75.7651E+06        14.5065E+09       -21.7753E-03        75.0151E-03 
                6.96629E-03        5.73084E+03      -13.9004E+03      -527.054E-06          0.                 0.                 0.               540.984E+06         16.9796E+03         0.               540.984E+06        203.134E+03        541.196E+06        112.36E-06           7.77317E+03      -22.0122E-03        72.7202E-03         5.58922E+06       -3.4967E+09       -26.8661E+06        14.6107E+09       -21.7717E-03        75.4295E-03 
                7.07865E-03      -10.0938E+03        24.4565E+03       644.751E-06          0.                 0.                 0.               544.335E+06         23.9514E+03         0.               544.335E+06        205.273E+03        544.553E+06        112.36E-06          11.132E+03        -21.9346E-03        72.9424E-03        -9.83245E+06       -3.51548E+09       31.9868E+06        14.6871E+09       -21.6957E-03        75.6685E-03 
                7.19101E-03      -21.3709E+03        51.6393E+03      -468.799E-06          0.                 0.                 0.               552.062E+06        128.646E+03          0.               552.062E+06        207.598E+03        552.37E+06         112.36E-06          28.1875E+03       -21.9873E-03        73.4515E-03       -20.8346E+06        -3.54516E+09       73.3759E+06        14.8124E+09       -21.7472E-03        76.2162E-03 
                7.30337E-03      -22.6428E+03        55.6197E+03       851.071E-06          0.                 0.                 0.               569.141E+06        438.011E+03          0.               569.141E+06        210.499E+03        569.758E+06        112.36E-06          31.598E+03        -22.3157E-03        74.5656E-03       -22.074E+06         -3.59746E+09       77.2591E+06        15.0401E+09       -22.0685E-03        77.4159E-03 
                7.41573E-03      -13.46E+03          34.6403E+03         2.40601E-03        0.                 0.                 0.               596.711E+06        842.471E+03          0.               596.711E+06        214.265E+03        597.752E+06        112.36E-06          16.0502E+03       -22.9367E-03        76.3292E-03       -13.1224E+06        -3.67409E+09       42.2933E+06        15.3788E+09       -22.6756E-03        79.3178E-03 
                7.52809E-03        1.60618E+03       -1.94718E+03      469.677E-06          0.                 0.                 0.               631.477E+06          1.01795E+06        0.               631.477E+06        218.91E+03         632.707E+06        112.36E-06           6.79617E+03      -23.7321E-03        78.4941E-03         1.56449E+06       -3.76594E+09      -14.1466E+06        15.7878E+09       -23.4527E-03        81.6569E-03 
                7.64045E-03       15.5968E+03       -37.6034E+03       235.044E-06          0.                 0.                 0.               666.81E+06         800.324E+03          0.               666.81E+06         223.947E+03        667.815E+06        112.36E-06          18.6846E+03       -24.5073E-03        80.6316E-03        15.2014E+06        -3.85689E+09      -65.9012E+06        16.1942E+09       -24.2095E-03        83.9715E-03 
                7.75281E-03       22.3635E+03       -56.1588E+03       235.43E-06           0.                 0.                 0.               695.545E+06        394.943E+03          0.               695.545E+06        228.546E+03        696.136E+06        112.36E-06          32.7323E+03       -25.0813E-03        82.3275E-03        21.8061E+06        -3.93115E+09      -90.2178E+06        16.5257E+09       -24.7694E-03        85.8114E-03 
                7.86517E-03       19.2127E+03       -49.1397E+03       110.973E-09          0.                 0.                 0.               713.481E+06        111.588E+03          0.               713.481E+06        232.106E+03        713.798E+06        112.36E-06          26.6154E+03       -25.3659E-03        83.3685E-03        18.7315E+06        -3.98049E+09      -77.4652E+06        16.7438E+09       -25.047E-03         86.9423E-03 
                7.97753E-03        7.64469E+03      -19.79E+03         353.534E-06          0.                 0.                 0.               721.64E+06          23.0256E+03         0.               721.64E+06         234.668E+03        721.887E+06        112.36E-06          10.3168E+03       -25.4018E-03        83.8381E-03         7.45167E+06       -4.00806E+09      -33.8227E+06        16.8621E+09       -25.082E-03         87.4528E-03 
                8.08989E-03       -7.35829E+03       18.4438E+03      -470.54E-06           0.                 0.                 0.               725.827E+06         22.0382E+03         0.               725.827E+06        236.738E+03        726.076E+06        112.36E-06           9.97196E+03      -25.3388E-03        84.0778E-03        -7.17425E+06       -4.02696E+09       21.8188E+06        16.94E+09         -25.0205E-03        87.7134E-03 
                8.20225E-03      -19.211E+03         48.2729E+03         1.47224E-03        0.                 0.                 0.               733.798E+06        105.618E+03          0.               733.798E+06        238.916E+03        734.117E+06        112.36E-06          26.0441E+03       -25.371E-03         84.5314E-03       -18.7304E+06        -4.05406E+09       65.0438E+06        17.0548E+09       -25.0519E-03        88.2069E-03 
                8.31461E-03      -22.4366E+03        56.5083E+03      -529.468E-06          0.                 0.                 0.               751.742E+06        382.422E+03          0.               751.742E+06        241.725E+03        752.333E+06        112.36E-06          33.0733E+03       -25.652E-03         85.5444E-03       -21.8741E+06        -4.10221E+09       75.9497E+06        17.2662E+09       -25.3258E-03        89.3099E-03 
                8.42697E-03      -15.3798E+03        39.7732E+03         1.47341E-03        0.                 0.                 0.               781.723E+06        792.403E+03          0.               781.723E+06        245.496E+03        782.741E+06        112.36E-06          19.9991E+03       -26.2239E-03        87.2104E-03       -14.9902E+06        -4.1747E+09        48.9324E+06        17.5905E+09       -25.883E-03         91.1262E-03 
                8.53933E-03       -1.39301E+03        5.56951E+03     -235.785E-06          0.                 0.                 0.               820.799E+06          1.03411E+06        0.               820.799E+06        250.236E+03        822.076E+06        112.36E-06           7.87003E+03      -26.9955E-03        89.3329E-03        -1.35458E+06       -4.26423E+09       -3.21344E+06       17.9948E+09       -26.6343E-03        93.4446E-03 
