7.46096e-03 7.14848e+05  2.02365e+09 2.02400e+09 8.04229e+05
7.51472e-03 6.43845e+05  2.05161e+09 2.05188e+09 8.10459e+05
7.56843e-03 5.94695e+05  2.07972e+09 2.07992e+09 8.17082e+05
7.62211e-03 5.95962e+05  2.10797e+09 2.10816e+09 8.22963e+05
7.67580e-03 6.37146e+05  2.13639e+09 2.13663e+09 8.27255e+05
7.72950e-03 6.84786e+05  2.16501e+09 2.16530e+09 8.30034e+05
7.78315e-03 7.19215e+05  2.19378e+09 2.19411e+09 8.32100e+05
7.83677e-03 7.35179e+05  2.22268e+09 2.22304e+09 8.34186e+05
7.89040e-03 7.23846e+05  2.25176e+09 2.25212e+09 8.36638e+05
7.94402e-03 6.86006e+05  2.28103e+09 2.28135e+09 8.39708e+05
7.99761e-03 6.49569e+05  2.31046e+09 2.31072e+09 8.43705e+05
8.05116e-03 6.41666e+05  2.34000e+09 2.34026e+09 8.48678e+05
8.10472e-03 6.54545e+05  2.36972e+09 2.37000e+09 8.54193e+05
8.15830e-03 6.65836e+05  2.39966e+09 2.39993e+09 8.59538e+05
8.21183e-03 6.75727e+05  2.42974e+09 2.43002e+09 8.64147e+05
8.26533e-03 6.93955e+05  2.45995e+09 2.46026e+09 8.67852e+05
8.31884e-03 7.07817e+05  2.49031e+09 2.49065e+09 8.70836e+05
8.37235e-03 6.97277e+05  2.52087e+09 2.52120e+09 8.73420e+05
8.42583e-03 6.69644e+05  2.55159e+09 2.55188e+09 8.75895e+05
8.47927e-03 6.48927e+05  2.58244e+09 2.58271e+09 8.78518e+05
8.53272e-03 6.42277e+05  2.61345e+09 2.61371e+09 8.81598e+05
8.58616e-03 6.42830e+05  2.64464e+09 2.64489e+09 8.85425e+05
8.63958e-03 6.52441e+05  2.67599e+09 2.67624e+09 8.89992e+05
8.69296e-03 6.76328e+05  2.70747e+09 2.70776e+09 8.94898e+05
8.74635e-03 7.04934e+05  2.73912e+09 2.73945e+09 8.99575e+05
8.79975e-03 7.21228e+05  2.77094e+09 2.77130e+09 9.03623e+05
8.85310e-03 7.18791e+05  2.80292e+09 2.80327e+09 9.07003e+05
8.90644e-03 7.00861e+05  2.83503e+09 2.83536e+09 9.09962e+05
8.95977e-03 6.72461e+05  2.86731e+09 2.86760e+09 9.12778e+05
9.01310e-03 6.42298e+05  2.89975e+09 2.89999e+09 9.15634e+05
9.06640e-03 6.21272e+05  2.93233e+09 2.93254e+09 9.18674e+05
9.11968e-03 6.15131e+05  2.96506e+09 2.96528e+09 9.22047e+05
9.17296e-03 6.27834e+05  2.99797e+09 2.99821e+09 9.25782e+05
9.22622e-03 6.64834e+05  3.03103e+09 3.03131e+09 9.29663e+05
