3.88431e-02 1.30909e+02  8.32365e+06 8.32379e+06 4.37716e+02
3.90870e-02 9.61401e+01  8.42821e+06 8.42829e+06 4.40991e+02
3.93309e-02 1.02186e+02  8.53339e+06 8.53347e+06 4.43714e+02
3.95748e-02 1.16595e+02  8.63924e+06 8.63936e+06 4.45107e+02
3.98187e-02 1.06016e+02  8.74574e+06 8.74583e+06 4.49051e+02
4.00626e-02 1.01840e+02  8.85286e+06 8.85294e+06 4.51120e+02
4.03065e-02 1.02112e+02  8.96067e+06 8.96075e+06 4.53366e+02
4.05504e-02 1.25422e+02  9.06908e+06 9.06921e+06 4.56354e+02
4.07943e-02 9.45080e+01  9.17815e+06 9.17823e+06 4.58645e+02
4.10382e-02 1.02915e+02  9.28790e+06 9.28798e+06 4.61111e+02
4.12821e-02 1.22355e+02  9.39825e+06 9.39838e+06 4.63419e+02
4.15260e-02 9.31114e+01  9.50928e+06 9.50935e+06 4.66784e+02
4.17698e-02 1.03032e+02  9.62094e+06 9.62103e+06 4.68335e+02
4.20137e-02 1.24041e+02  9.73324e+06 9.73338e+06 4.71146e+02
4.22576e-02 1.01562e+02  9.84622e+06 9.84630e+06 4.74511e+02
4.25015e-02 9.24978e+01  9.95981e+06 9.95988e+06 4.75848e+02
4.27453e-02 1.25567e+02  1.00741e+07 1.00742e+07 4.79217e+02
4.29892e-02 1.00431e+02  1.01890e+07 1.01890e+07 4.81836e+02
4.32331e-02 9.43089e+01  1.03045e+07 1.03046e+07 4.83717e+02
4.34769e-02 1.24615e+02  1.04207e+07 1.04208e+07 4.86225e+02
4.37208e-02 9.56562e+01  1.05375e+07 1.05376e+07 4.89145e+02
4.39646e-02 1.07652e+02  1.06550e+07 1.06551e+07 4.91316e+02
4.42085e-02 1.09020e+02  1.07731e+07 1.07732e+07 4.93022e+02
4.44523e-02 1.03321e+02  1.08919e+07 1.08920e+07 4.96796e+02
4.46962e-02 1.06499e+02  1.10113e+07 1.10114e+07 4.98465e+02
4.49400e-02 1.02375e+02  1.11314e+07 1.11314e+07 5.00319e+02
4.51839e-02 1.21488e+02  1.12521e+07 1.12522e+07 5.03888e+02
4.54277e-02 9.37707e+01  1.13734e+07 1.13735e+07 5.05883e+02
4.56715e-02 1.08122e+02  1.14954e+07 1.14955e+07 5.08101e+02
4.59154e-02 1.13757e+02  1.16181e+07 1.16182e+07 5.10880e+02
4.61592e-02 9.30039e+01  1.17413e+07 1.17414e+07 5.13856e+02
4.64030e-02 1.19384e+02  1.18653e+07 1.18654e+07 5.15433e+02
4.66468e-02 1.03290e+02  1.19898e+07 1.19899e+07 5.18265e+02
4.68906e-02 1.01901e+02  1.21150e+07 1.21151e+07 5.21487e+02
4.71345e-02 1.10624e+02  1.22409e+07 1.22410e+07 5.22814e+02
4.73783e-02 1.07114e+02  1.23674e+07 1.23675e+07 5.25953e+02
4.76221e-02 1.03349e+02  1.24946e+07 1.24947e+07 5.28481e+02
4.78659e-02 1.01337e+02  1.26224e+07 1.26225e+07 5.30721e+02
4.81097e-02 1.23455e+02  1.27508e+07 1.27509e+07 5.33218e+02
4.83535e-02 9.45588e+01  1.28799e+07 1.28800e+07 5.35568e+02
4.85973e-02 1.01080e+02  1.30096e+07 1.30097e+07 5.38373e+02
4.88411e-02 1.22120e+02  1.31400e+07 1.31401e+07 5.40212e+02
4.90849e-02 9.26325e+01  1.32710e+07 1.32711e+07 5.43171e+02
4.93287e-02 1.05939e+02  1.34026e+07 1.34027e+07 5.45281e+02
4.95725e-02 1.21685e+02  1.35349e+07 1.35351e+07 5.47826e+02
4.98162e-02 9.91908e+01  1.36679e+07 1.36680e+07 5.50924e+02
