
                             A:A1 PI: FIBERS90  A:A1 PI: HOST-1 N  A:A2 PI: FIBERS90  A:A2 PI: HOST-1 N  ALLAE Whole Model ALLCD Whole Model  ALLDMD Whole Mode  ALLFD Whole Model  ALLIE Whole Model  ALLKE Whole Model ALLPD Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model  ETOTAL Whole Mode  LE:LE11 PI: FIBER  LE:LE11 PI: HOST-  LE:LE22 PI: FIBER  LE:LE22 PI: HOST-  RF:RF1 PI: FIBERS  RF:RF1 PI: HOST-1  RF:RF2 PI: FIBERS  RF:RF2 PI: HOST-1  S:S11 PI: FIBERS9  S:S11 PI: HOST-1   S:S22 PI: FIBERS9  S:S22 PI: HOST-1   U:U1 PI: FIBERS90  U:U1 PI: HOST-1 N  U:U2 PI: FIBERS90  U:U2 PI: HOST-1 N
                  X                 N: 1               : 1                N: 1               : 1                 -1                -1                l-1                 -1                 -1                 -1                -1                 -1                 -1                 -1                l-1         S90 E: 1 Centroid   1 E: 1 Centroid   S90 E: 1 Centroid   1 E: 1 Centroid        90 N: 1              N: 1             90 N: 1              N: 1         0 E: 1 Centroid     E: 1 Centroid     0 E: 1 Centroid     E: 1 Centroid           N: 1               : 1                N: 1               : 1       
                3.70787E-03      210.196              2.63398E+03        0.                 0.               143.467E-06         0.                 0.                 0.                39.61E+06          61.7184E+03        0.                39.61E+06          63.0621E+03        39.6792E+06        55.6349E+03        18.3696E-03        -5.56013E-03        0.                18.3696E-03         0.                 0.                 0.                 1.06012E+09        3.67793E+09      -15.4252E+06         0.                 3.66895E+09     -442.4E-06           -5.54469E-03        1.47922E-03       18.5393E-03 
                3.82022E-03     -150.916             -1.89304E+03        0.                 0.               545.029E-06         0.                 0.                 0.                42.0294E+06        61.3025E+03        0.                42.0294E+06        65.2792E+03        42.1004E+06        55.6169E+03        18.921E-03         -5.67641E-03        0.                18.921E-03          0.                 0.                 0.                 1.09474E+09        3.78848E+09        3.98112E+06        0.                 3.79082E+09     -451.626E-06         -5.66029E-03        1.52404E-03       19.1011E-03 
                3.93258E-03     -316.279             -3.9674E+03         0.                 0.               746.145E-06         0.                 0.                 0.                44.5206E+06        64.9931E+03        0.                44.5206E+06        67.3338E+03        44.5973E+06        55.5897E+03        19.4722E-03        -5.81671E-03        0.                19.4722E-03         0.                 0.                 0.                 1.12752E+09        3.899E+09         13.9827E+06         0.                 3.90714E+09     -462.757E-06         -5.7998E-03         1.56886E-03       19.6629E-03 
                4.04494E-03     -118.394             -1.4835E+03         0.                 0.              -803.343E-06         0.                 0.                 0.                47.0815E+06        69.2656E+03        0.                47.0815E+06        68.7815E+03        47.1643E+06        55.1604E+03        20.0229E-03        -6.00738E-03        0.                20.0229E-03         0.                 0.                 0.                 1.15714E+09        4.00942E+09        4.26266E+06        0.                 4.01189E+09     -477.881E-06         -5.98939E-03        1.61369E-03       20.2247E-03 
                4.1573E-03       194.984              2.44485E+03        0.                 0.                 1.32027E-03       0.                 0.                 0.                49.7137E+06        68.4539E+03        0.                49.7137E+06        69.9783E+03        49.7969E+06        55.2666E+03        20.5734E-03        -6.21695E-03        0.                20.5734E-03         0.                 0.                 0.                 1.18585E+09        4.11979E+09      -12.836E+06          0.                 4.11236E+09     -494.499E-06         -6.19772E-03        1.65851E-03       20.7865E-03 
                4.26966E-03      268.813              3.37134E+03        0.                 0.                -1.37754E-03       0.                 0.                 0.                52.4165E+06        64.076E+03         0.                52.4165E+06        71.3397E+03        52.4964E+06        55.5959E+03        21.1237E-03        -6.39551E-03        0.                21.1237E-03         0.                 0.                 0.                 1.21666E+09        4.23014E+09      -17.8647E+06         0.                 4.21978E+09     -508.656E-06         -6.37517E-03        1.70334E-03       21.3483E-03 
                4.38202E-03       40.1448           505.622              0.                 0.                 0.                0.                 0.                 0.                55.1886E+06        61.6697E+03        0.                55.1886E+06        73.1912E+03        55.2679E+06        55.5754E+03        21.6735E-03        -6.53129E-03        0.                21.6735E-03         0.                 0.                 0.                 1.25E+09           4.34042E+09       -6.20936E+06        0.                 4.33683E+09     -519.419E-06         -6.51007E-03        1.74816E-03       21.9101E-03 
                4.49438E-03     -214.588             -2.68913E+03        0.                 0.                 1.03393E-03       0.                 0.                 0.                58.0318E+06        62.9763E+03        0.                58.0318E+06        75.2878E+03        58.1144E+06        55.6132E+03        22.2231E-03        -6.66068E-03        0.                22.2231E-03         0.                 0.                 0.                 1.28341E+09        4.45067E+09        7.9364E+06         0.                 4.45527E+09     -529.676E-06         -6.63858E-03        1.79299E-03       22.4719E-03 
                4.60674E-03     -210.392             -2.6378E+03         0.                 0.              -114.526E-06         0.                 0.                 0.                60.9451E+06        66.7069E+03        0.                60.9451E+06        77.0149E+03        61.0334E+06        55.3999E+03        22.7725E-03        -6.82428E-03        0.                22.7725E-03         0.                 0.                 0.                 1.31452E+09        4.56085E+09        8.6713E+06         0.                 4.56588E+09     -542.641E-06         -6.80104E-03        1.83781E-03       23.0337E-03 
                4.7191E-03        27.5379           345.313              0.                 0.               431.115E-06         0.                 0.                 0.                63.9284E+06        68.5502E+03        0.                63.9284E+06        78.3431E+03        64.0201E+06        55.2012E+03        23.3214E-03        -7.0214E-03         0.                23.3215E-03         0.                 0.                 0.                 1.34363E+09        4.67096E+09       -3.74298E+06        0.                 4.66882E+09     -558.263E-06         -6.9968E-03         1.88264E-03       23.5955E-03 
                4.83146E-03      217.482              2.72499E+03        0.                 0.                57.9121E-06        0.                 0.                 0.                66.9825E+06        66.114E+03         0.                66.9825E+06        79.6244E+03        67.0727E+06        55.4578E+03        23.8701E-03        -7.21421E-03        0.                23.8701E-03         0.                 0.                 0.                 1.37321E+09        4.78105E+09      -14.5267E+06         0.                 4.77265E+09     -573.537E-06         -7.18821E-03        1.92746E-03       24.1573E-03 
                4.94382E-03      151.047              1.89033E+03        0.                 0.               546.154E-06         0.                 0.                 0.                70.1058E+06        62.9342E+03        0.                70.1058E+06        81.1906E+03        70.1943E+06        55.5877E+03        24.4185E-03        -7.37237E-03        0.                24.4185E-03         0.                 0.                 0.                 1.40499E+09        4.89112E+09      -11.7667E+06         0.                 4.88429E+09     -586.065E-06         -7.34521E-03        1.97229E-03       24.7191E-03 
                5.05618E-03      -78.0345          -978.133              0.                 0.              -172.36E-06          0.                 0.                 0.                73.2988E+06        62.3738E+03        0.                73.2988E+06        83.1257E+03        73.3887E+06        55.5821E+03        24.9667E-03        -7.50649E-03        0.                24.9666E-03         0.                 0.                 0.                 1.43805E+09        5.00107E+09      407.328E+03          0.                 5.0013E+09      -596.687E-06         -7.47835E-03        2.01711E-03       25.2809E-03 
                5.16854E-03     -200.724             -2.51691E+03        0.                 0.              -459.955E-06         0.                 0.                 0.                76.5622E+06        64.6397E+03        0.                76.5622E+06        85.009E+03         76.6563E+06        55.5416E+03        25.5144E-03        -7.65306E-03        0.                25.5144E-03         0.                 0.                 0.                 1.47008E+09        5.111E+09          7.64496E+06        0.                 5.11539E+09     -608.293E-06         -7.62383E-03        2.06194E-03       25.8427E-03 
                5.2809E-03       -89.4726            -1.12278E+03        0.                 0.               460.219E-06         0.                 0.                 0.                79.895E+06         67.3518E+03        0.                79.895E+06         86.523E+03         79.9935E+06        55.3211E+03        26.0619E-03        -7.8317E-03         0.                26.0619E-03         0.                 0.                 0.                 1.50007E+09        5.22086E+09        2.31696E+06        0.                 5.22221E+09     -622.434E-06         -7.80109E-03        2.10676E-03       26.4045E-03 
                5.39326E-03      113.879              1.42834E+03        0.                 0.                18.5828E-09        0.                 0.                 0.                83.2977E+06        67.109E+03         0.                83.2977E+06        87.8364E+03        83.3973E+06        55.348E+03         26.6091E-03        -8.02462E-03        0.                26.6092E-03         0.                 0.                 0.                 1.52931E+09        5.3307E+09        -8.67533E+06        0.                 5.3257E+09      -637.704E-06         -7.99252E-03        2.15159E-03       26.9663E-03 
                5.50562E-03      174.394              2.18724E+03        0.                 0.               259.011E-06         0.                 0.                 0.                86.7701E+06        64.4422E+03        0.                86.7701E+06        89.25E+03          86.8682E+06        55.551E+03         27.156E-03         -8.1994E-03         0.                27.156E-03          0.                 0.                 0.                 1.5598E+09         5.44046E+09      -12.5752E+06         0.                 5.43322E+09     -651.537E-06         -8.16593E-03        2.19641E-03       27.5281E-03 
                5.61798E-03       36.0302           453.679              0.                 0.               115.27E-06          0.                 0.                 0.                90.3114E+06        62.7205E+03        0.                90.3114E+06        90.971E+03         90.4095E+06        55.5781E+03        27.7026E-03        -8.34638E-03        0.                27.7026E-03         0.                 0.                 0.                 1.59192E+09        5.55019E+09       -5.60613E+06        0.                 5.54696E+09     -663.168E-06         -8.31172E-03        2.24124E-03       28.0899E-03 
